word	ipa
ទំនើរ	t u m . n əə
ទំនើស	t u m . n əə h
ទំនៀម	t u m . n iə m
ទំនៀមទម្លាប់	t u m . n iə m . t u m . l oa p
ទំនៀមទំលាប់	t u m . n iə m . t u m . l oa p
ទំនេរ	t u m . n ee
ទំនោ	t u m . n oo
ទំនោរ	t u m . n oo
ទំនំ	t u m . n u m
ទំពក់	t u m . p uə k
ទំពា	t u m . p ie
ទំពាម	t u m . p ie m
ទំពាំង	t u m . p ea ŋ
ទំពាំងជូរ	t u m . p ea ŋ . c uu
ទំពាំងបង្កង់	t u m . p ea ŋ . ɓ ɑ ŋ . k ɑ ŋ
ទំពាំងបាយជូរ	t u m . p ea ŋ . ɓ aa j . c uu
ទំពាំងឫស្សី	t u m . p ea ŋ . r ɨ h . s ə j
ទំពុន	t u m . p u n
ទំពូង	t u m . p uu ŋ
ទំពួន	t u m . p uə n
ទំពួនរឺងតូច	t u m . p uə n . r ɨɨ ŋ . t oo c
ទំពួនរឺងធំ	t u m . p uə n . r ɨɨ ŋ . th u m
ទំពេជ	t u m . p ɨ c
ទំពែក	t u m . p ɛɛ k
ទំព័រ	t u m . p oa
ទំព័រមាស	t u m . p oa . m ie h
ទំព្រង	t u m . p r ɔɔ ŋ
ទំយើ	t u m . j əə
ទំយើចទំយើ	t u m . j əə c . t u m . j əə
ទំរ	t u m . r ɔɔ
ទំរង់	t u m . r u ŋ
ទំរាំ	t u m . r oa m
ទំរីង	t u m . r ii ŋ
ទំរឹង	t u m . r ɨ ŋ
ទំលាក់	t u m . l ea k
ទំលាប់	t u m . l oa p
ទំលាយ	t u m . l ie j
ទំហាក់	t u m . h a k
ទំហាត់	t u m . h oa t
ទំហឹង	t u m . h ɨ ŋ
ទំហូ	t u m . h uu
ទំហួន	t u m . h uə n
ទំហៀប	t u m . h iə p
ទំហេង	t u m . h ee ŋ
ទំហែង	t u m . h ɛɛ ŋ
ទំហំ	t u m . h u m
ទំអរ	t u m . ʔ ɑɑ
ទះ	t ea h
ទះកំភ្លៀង	t ea h . k ɑ m . p l iə ŋ
ទះដៃ	t ea h . ɗ a j
ទ័ណ្ឌកម្ម	t oa n . ɗ ea ʔ . k a m
ទ័ព	t oa p
ទ័ពឃ្លៃ	t oa p . k l e j
ទ័ពជ័យ	t oa p . c e j
ទ័ពជ័យតូច	t oa p . c e j . t oo c
ទ័ពណូន	t oa p . n oo n
ទ័ពតាឡាត់	t oa p . t aa . l a t
ទ័ពត្បែង	t oa p . t ɓ ae ŋ
ទ័ពបោះ	t oa p . ɓ ɑ h
ទ័ពមាន	t oa p . m ie n
ទ័ពម្រាក់	t oa p . m r ea k
ទ័ពសៀម	t oa p . s iə m
ទ័ពស្ដេច	t oa p . s ɗ a c
ទ័ពស្រូវ	t oa p . s r ə w
ទ័ពស្វាយ	t oa p . s w aa j
ទ័យ	t e j
ទ័យវត្ថុ	t e j . w oa t . th o ʔ
ទ័រ	t əə
ទ័ល	t oa l
ទ័លច្រក	t oa l . c r ɑɑ k
ទ័លប៉ុច	t oa l . p o c
ទ្បង់	l ɑ ŋ
ទ្បាក់	l a k
ទ្បាយ	l aa j
ទ្បើយ	l aə j
ទ្បេ	l ee
ទ្យូត	t j uu t
ទ្យោត	t j oo t
ទ្យោតិ	t j oo . t e ʔ
ទ្យោតិក	t j oo . t ə k
ទ្យោតិភាវ	t j oo . t e ʔ . ph ie . w ea ʔ
ទ្យោតិរស	t j oo . t e ʔ . r uə h
ទ្យោតិសាស្ត្រ	t j oo . t e ʔ . s aa h
ទ្រ	t r ɔɔ
ទ្រក់	t r uə k
ទ្រគោះ	t r ɔ . k uə h
ទ្រងាង	t r ɔ . ŋ ie ŋ
ទ្រងើង	t r ɔ . ŋ əə ŋ
ទ្រងើល	t r ɔ . ŋ əə l
ទ្រង់	t r u ŋ
ទ្រង់ទ្រាយ	t r u ŋ . t r ie j
ទ្រត	t r ɔɔ t
ទ្រទន់	t r ɔ . t u n
ទ្រទប់	t r ɔɔ . t u p
ទ្រទួយ	t r ɔ . t uə j
ទ្រទេសទ្រទន់	t r ɔ . t ee h . t r ɔ . t u n
ទ្រទេសទ្រទួយ	t r ɔ . t ee h . t r ɔ . t uə j
ទ្រទ្រង់	t r ɔ . t r u ŋ
ទ្រនង់	t r ɔ . n u ŋ
ទ្រនល់	t r ɔ . n u l
ទ្រនាប់	t r ɔ . n oa p
ទ្រនាមពេជ្រ	t r ɔ . n ie m . p ɨ c
ទ្រនិច	t r ɔ . n ɨ c
ទ្រនិប	t r ɔ . n ɨ p
ទ្រនឹប	t r ɔ . n ɨ p
ទ្រនុង	t r ɔ . n u ŋ
ទ្រនុល	t r ɔ . n u l
ទ្រនូង	t r ɔ . n uu ŋ
ទ្រនូល	t r ɔ . n uu l
ទ្រនើរ	t r ɔ . n əə
ទ្រនេស	t r ɔ . n ee h
ទ្រនំ	t r ɔ . n u m
ទ្រផ្ទាំង	t r ɔɔ . p t ea ŋ
ទ្រព្យ	t r oa p
ទ្រព្យធន	t r oa p . th u n
ទ្រព្យសម្បត្តិ	t r oa p . s ɑ m . ɓ a t
ទ្រព្យា	t r oa p . p j ie
ទ្រម	t r ɔɔ m
ទ្រមក់	t r ɔ . m uə k
ទ្រមាក	t r ɔ . m ie k
ទ្រមាកមាក	t r ɔ . m ie k . m ie k
ទ្រមាក់	t r ɔ . m ea k
ទ្រមាក់ខ្លា	t r ɔ . m ea k . k l aa
ទ្រមាំង	t r ɔ . m ea ŋ
ទ្រមីងទ្រមើយ	t r ɔ . m ii ŋ . t r ɔ . m əə j
ទ្រមឹង	t r ɔ . m ɨ ŋ
ទ្រមឹងទ្រមើយ	t r ɔ . m ɨ ŋ . t r ɔ . m əə j
ទ្រមូង	t r ɔ . m uu ŋ
ទ្រមូងសេក	t r ɔ . m uu ŋ . s ee k
ទ្រមួង	t r ɔ . m uə ŋ
ទ្រមួច	t r ɔ . m uə c
ទ្រមើង	t r ɔ . m əə ŋ
ទ្រមើយ	t r ɔ . m əə j
ទ្រមេញ	t r ɔ . m ɨ ɲ
ទ្រមែ	t r ɔ . m ɛɛ
ទ្រមែង	t r ɔ . m ɛɛ ŋ
ទ្រយាន	t r ɔ . j ie n
ទ្រយឹងទេ	t r ɔ . j ɨ ŋ . t ee
ទ្រយុក	t r ɔ . j u k
ទ្រយោង	t r ɔ . j oo ŋ
ទ្រលន់	t r ɔ . l u n
ទ្រលាន់	t r ɔ . l oa n
ទ្រលុក	t r ɔ . l u k
ទ្រលុកទ្រលន់	t r ɔ . l u k . t r ɔ . l u n
ទ្រលូ	t r ɔ . l uu
ទ្រលោក	t r ɔ . l oo k
ទ្រលោកលិច	t r ɔɔ . l oo k . l ə c
ទ្រលោម	t r ɔ . l oo m
ទ្រវៀច	t r ɔ . w iə c
ទ្រវែង	t r ɔ . w ɛɛ ŋ
ទ្រវ្យ	t r ea ʔ . w j ea ʔ
ទ្រវ្យា	t r oa p . w j ie
ទ្រសោ	t r ɔɔ . s ao
ទ្រហឹង	t r ɔ . h ɨ ŋ
ទ្រហោ	t r ɔ . h oo
ទ្រហោយំ	t r ɔ . h oo . j u m
ទ្រហ៊ោ	t r ɔ . h oo
ទ្រអ៊ូ	t r ɔɔ . ʔ uu
ទ្រា	t r ie
ទ្រាក	t r ie k
ទ្រាង	t r ie ŋ
ទ្រាន	t r ie n
ទ្រាន់	t r oa n
ទ្រាប	t r ie p
ទ្រាបលាជ	t r ie p . l ie c
ទ្រាប់	t r oa p
ទ្រាយ	t r ie j
ទ្រារស	t r ie . s ɑɑ
ទ្រាល	t r ie l
ទ្រាលើ	t r ie . l əə
ទ្រាវិឌ	t r ie . w ɨ t
ទ្រាស	t r ie h
ទ្រាស់	t r oa h
ទ្រាំ	t r oa m
ទ្រាំង	t r ea ŋ
ទ្រាំទ្រ	t r oa m . t r ɔɔ
ទ្រាំទ្រឹស្ដិ	t r oa m . t r ɨ h
ទ្រិញ	t r ɨ ɲ
ទ្រិត	t r ɨ t
ទ្រិន	t r ɨ n
ទ្រី	t r ii
ទ្រីកហ្គើ	t r ii k . g əə
ទ្រីកាបុកស៊ីលិច	t r ii . k aa . ɓ o k . s ii . l ɨ c
ទ្រីកូ	t r ii . k oo
ទ្រីកូនីមហ្វា	t r ii . k oo . n ii m . f aa
ទ្រីកូប្លាស	t r ii . k oo . p l aa h
ទ្រីកូផ្ដេរ៉ា	t r ii . k oo . p ɗ ee . r aa
ទ្រីកូម	t r ii . k oo m
ទ្រីកូម៉ូណាត	t r ii . k oo . m oo . n aa t
ទ្រីកូម៉ូណាស	t r ii . k oo . m oo . n aa h
ទ្រីកូស៊ីន	t r ii . k oo . s ii n
ទ្រីក្លាដ	t r ii . k l aa t
ទ្រីខូពីតុន	t r ii . kh oo . p ii . t o n
ទ្រីគា	t r ii . k ie
ទ្រីគ្នីសេរីត	t r ii . k n ii . s ee . r ii t
ទ្រីងងឺ	t r ii ŋ . ŋ ɨɨ
ទ្រីត	t r ii t
ទ្រីតមីន	t r ii t . m ii n
ទ្រីថ៍	t r ii
ទ្រីទែពែន	t r ii . t ɛɛ . p ɛɛ n
ទ្រីធី	t r ii . th ii
ទ្រីន	t r ii n
ទ្រីនីដាដ	t r ii . n ii . ɗ aa t
ទ្រីនីត្រូតូលុយអែន	t r ii . n ii . t r oo . t oo . l u j . ʔ ae n
ទ្រីនីធី	t r ii . n ii . th ii
ទ្រីប	t r ii p
ទ្រីបតូន	t r ii p . t oo n
ទ្រីបតូផាន	t r ii p . t oo . ph aa n
ទ្រីបប្យូតេរៀ	t r ii p . ɓ j oo . t ee . r iə
ទ្រីបភើ	t r ii p . ph əə
ទ្រីបល់	t r ii . ɓ ɑ l
ទ្រីបស៊ីន	t r ii p . s ii n
ទ្រីបអែតវ៉ាយស័រ	t r ii p . ʔ ae t . w aa j . s oa
ទ្រីបូលី	t r ii . ɓ oo . l ii
ទ្រីប៉ាណូសូម	t r ii . p aa . n oo . s oo m
ទ្រីប៉ូលី	t r ii . p oo . l ii
ទ្រីប៊ូន	t r ii . ɓ uu n
ទ្រីប្យ៊ូន	t r ii . ɓ j uu ŋ
ទ្រីប្លូអ៊ីឌី	t r ii . p l oo . ʔ ii . ɗ ii
ទ្រីផល	t r ii . ph ɑɑ l
ទ្រីផូស្វាត	t r ii . ph oo . s w aa t
ទ្រីពុស្សិ៍	t r ii . p u h
ទ្រីភាព	t r ii . ph ie p
ទ្រីម	t r ii m
ទ្រីមទ្រម	t r ii m . t r ɔɔ m
ទ្រីមេតូព្រីម	t r ii . m ee . t oo . p r ii m
ទ្រីមេទីលអាមីន	t r ii . m ee . t ii l . ʔ aa . m ii n
ទ្រីមេប៉េរីឌីន	t r ii . m ee . p ee . r ii . ɗ ii n
ទ្រីយ៉ា	t r ii . j aa
ទ្រីយ៉ាត្លុង	t r ii . j aa . t l o ŋ
ទ្រីយ៉ាថ្លុន	t r ii . j aa . t l o n
ទ្រីយ៉ាស៊ីក	t r ii . j aa . s ii k
ទ្រីលាន	t r ii . l ie n
ទ្រីវៀ	t r ii . w iə
ទ្រីវ៉ាហ្គោ	t r ii . w aa . g oo
ទ្រីវ៉ុលទីន	t r ii . w o l . t ii n
ទ្រីស	t r ii h
ទ្រីសាការីត	t r ii . s aa . k aa . r ii t
ទ្រីសូមី	t r ii . s oo . m ii
ទ្រីស៊ិក្លិ៍	t r ii . s i k
ទ្រីស្តាន	t r ii . s t aa n
ទ្រីស្យូម	t r ii . s j oo m
ទ្រីហោស	t r ii . h ao h
ទ្រីហ្សូឡាំ	t r ii . z oo . l a m
ទ្រីឡូជី	t r ii . l oo . c ii
ទ្រីឡូប៊ីត	t r ii . l oo . ɓ ii t
ទ្រីអាមស៊ីណូឡូន	t r ii . ʔ aa m . s ii . n oo . l oo n
ទ្រីអាស៊ីលគ្លីសេរ៉ុល	t r ii . ʔ aa . s ii l . k l ii . s ee . r o l
ទ្រីអូស	t r ii . ʔ oo h
ទ្រីអូសផូស្វាត	t r ii . ʔ oo h . ph oo . s w aa t
ទ្រីអ៊ីដ្រុកស៊ីបង់សែន	t r ii . ʔ ii . ɗ r o k . s ii . ɓ ɑ ŋ . s ae n
ទ្រីអ៊ីដ្រូបង់សែន	t r ii . ʔ ii . ɗ r oo . ɓ ɑ ŋ . s ae n
ទ្រីអ៊ីយ៉ូដូទីរ៉ូស៊ីន	t r ii . ʔ ii . j oo . ɗ oo . t ii . r oo . s ii n
ទ្រឹង	t r ɨ ŋ
ទ្រឹប	t r ɨ p
ទ្រឹម	t r ɨ m
ទ្រឹមទ្រុម	t r ɨ m . t r u m
ទ្រឹស្ដិ	t r ɨ h
ទ្រឹស្ដិស្មូរ	t r ɨ h . s m oo
ទ្រឹស្ដី	t r ɨ h . s ɗ ə j
ទ្រឹស្ដីបទ	t r ɨ h . s ɗ ə j . ɓ ɑ t
ទ្រឹស្តី	t r ɨ ʔ . s ɗ ə j
ទ្រុង	t r u ŋ
ទ្រុឌ	t r u t
ទ្រុឌទ្រោម	t r u t . t r oo m
ទ្រុប	t r u p
ទ្រុបទ្រុល	t r u p . t r u l
ទ្រុយ	t r u j
ទ្រុល	t r u l
ទ្រុស្ដ	t r u h
ទ្រុស្ដសីល	t r u ʔ . s ə l
ទ្រុះ	t r u h
ទ្រូ	t r uu
ទ្រូង	t r uu ŋ
ទ្រូថស្គីអ៊ីសឹម	t r uu t . s k ii . ʔ ii . s ə m
ទ្រូថាម	t r uu . th aa m
ទ្រូភើ	t r uu . ph əə
ទ្រូម៉ាន់	t r uu . m a n
ទ្រូម៉ែន	t r uu . m ae n
ទ្រូលី	t r uu . l ii
ទ្រូវីហ្សិន	t r uu . w ii . z ə n
ទ្រួក	t r uə k
ទ្រួយ	t r uə j
ទ្រួស	t r uə h
ទ្រួសៗ	t r uə h . t r uə h
ទ្រើក	t r əə k
ទ្រើង	t r əə ŋ
ទ្រើត	t r əə t
ទ្រើប	t r əə p
ទ្រើស	t r əə h
ទ្រើសឃ្នង	t r əə h . k n ɔɔ ŋ
ទ្រឿក	t r ɨə k
ទ្រឿង	t r ɨə ŋ
ទ្រឿន	t r ɨə n
ទ្រៀក	t r iə k
ទ្រៀង	t r iə ŋ
ទ្រៀឆ័រ	t r iə . ch əə
ទ្រៀប	t r iə p
ទ្រៀល	t r iə l
ទ្រៀស	t r iə h
ទ្រេត	t r ee t
ទ្រេតត្រត	t r ee t . t r ɑɑ t
ទ្រេតទ្រោត	t r ee t . t r oo t
ទ្រេននិង	t r ee n . n i ŋ
ទ្រេល	t r ee l
ទ្រែនស្វ៊ើរិន	t r ɛɛ n . s w əə . r ɨ n
ទ្រែមទ្រម	t r ɛɛ m . t r ɔɔ m
ទ្រែលទ្រល	t r ɛɛ l . t r ɔɔ l
ទ្រោណ	t r oo n
ទ្រោត	t r oo t
ទ្រោប	t r oo p
ទ្រោម	t r oo m
ទ្រោល	t r oo l
ទ្រោហិន	t r oo . h ə n
ទ្រោះ	t r uə h
ទ្វត្តឹស	t w ea ʔ . t ə ʔ . s a ʔ
ទ្វន្ទយុធ	t w a n . t ea ʔ . j u t
ទ្វន្ទ្វយុធ	t w oa n . t w ea ʔ . j u t
ទ្វយវាទ	t w ea ʔ . j ea ʔ . w ie t
ទ្វាទស	t w ie . t uə h
ទ្វាទសមាស	t w ie . t uə h . s a ʔ . m ie h
ទ្វាទសវត្សរ៍	t w ie . t uə h . s a ʔ . w oa t
ទ្វារ	t w ie
ទ្វារដែក	t w ie . ɗ ae k
ទ្វារត្តយ	t w ie . r oa t . t a ʔ . j ea ʔ
ទ្វារថ្មី	t w ie . t m ə j
ទ្វារធំ	t w ie . th u m
ទ្វារបាល	t w ie . ɓ aa l
ទ្វារមាស	t w ie . m ie h
ទ្វិកនិយម	t w i ʔ . k a ʔ . n i ʔ . j u m
ទ្វិគុណ	t w i ʔ . k u n
ទ្វិជក	t w i ʔ . c uə k
ទ្វិជាករ	t w i ʔ . c ie . k ɑɑ
ទ្វិតីយ	t w i ʔ . t ə j . j a ʔ
ទ្វិតីយកា	t w i ʔ . t ə j . j ea ʔ . k aa
ទ្វិតីយាសាឍ	t w i ʔ . t ə j . j aa . s aa t
ទ្វិទន្ត	t w i ʔ . t oa n . t a ʔ
ទ្វិធា	t w i ʔ . th ie
ទ្វិវចនៈ	t w i ʔ . w ea ʔ . c a ʔ . n a ʔ
ទ្វិសប្ដាហៈ	t w i ʔ . s a p . p ɗ aa . h a ʔ
ទ្វិសប្ដាហ៍	t w i ʔ . s a p . p ɗ aa
ទ្វិសប្តាហៈ	t w i ʔ . s a p . p ɗ aa . h a ʔ
ទ្វិសភា	t w i ʔ . s a ʔ . ph ie
ទ្វី	t w ii
ទ្វីគុណ	t w ii . k u n
ទ្វីត	t w ii t
ទ្វីធើ	t w ii . th əə
ទ្វីន	t w ii n
ទ្វីនទ្វីស្ទ័រ	t w ii n . t w ii . s t əə
ទ្វីនប្រីដ	t w ii n . p r ii t
ទ្វីប	t w ii p
ទ្វីស	t w ii h
ទ្វីសធីត	t w ii h . th ii t
ទ្វេ	t w ee
ទ្វេគុណ	t w ee . k u n
ទ្វេគ្រាះ	t w ee . k r ie h
ទ្វេដង	t w ee . ɗ ɑɑ ŋ
ទ្វេធា	t w ee . th ie
ទ្វេធាតុ	t w ee . th ie t
ទ្វេធ្វេស	t w ee . t w ee h
ទ្វេបថ	t w ee . ɓ ɑ t
ទ្វេបាទ	t w ee . ɓ aa t
ទ្វេផ្លាសែល	t w ee . p l aa . s ae l
ទ្វេពន្ធភាព	t w ee . p oa n . th ea ʔ . ph ie p
ទ្វេភាព	t w ee . ph ie p
ទ្វេសជន	t w ee . s a ʔ . c u n
ទ្វេហារ	t w ee . h aa
ធ	th ɔɔ
ធក	th ɔɔ k
ធង្សៈ	th u ŋ . s a ʔ
ធង្សៈទេវី	th u ŋ . s a ʔ . t ee . w ii
ធញ្ញជាតិ	th u ɲ . ɲ ea ʔ . c ie t
ធញ្ញហារ	th u ɲ . ɲ ea ʔ . h aa
ធញ្ញាហារ	th u ŋ . ɲ ie . h aa
ធតរដ្ឋ	th ea ʔ . t a ʔ . r oa t
ធត់	th u t
ធន	th u n
ធនក្កីត	th u n . n ea k . k ə t
ធនក្ខយ	th ea ʔ . n ea k . kh a j
ធនក្រីត	th ea ʔ . n ea ʔ . k r ii t
ធនក្សយ	th u n . k s a j
ធនក្ស័យ	th u n . k s a j
ធនជ័យ	th u n . c e j
ធនញ្ជ័យ	th u n . c e j
ធនធាន	th u n . th ie n
ធនធានទឹក	th u n . th ie n . t ɨ k
ធនបត្រ	th u n . n ea ʔ . ɓ a t
ធនបុរី	th u n . ɓ o ʔ . r ə j
ធនប័ណ្ណ	th u n . n ea ʔ . ɓ a n
ធនប័ត្រ	th u n . n ea ʔ . ɓ a t
ធនប្ដឹក	th u n . p ɗ ə k
ធនប្រាប្ដ	th u n . p r a p
ធនមន្ត	th u n . m u n
ធនមូល	th u n . m uu l
ធនលាភ	th u n . l ie p
ធនសារ	th u n . s aa
ធនាករ	th ea ʔ . n ie . k ɑɑ
ធនាគារ	th ea ʔ . n ie . k ie
ធនាគារិក	th ɔ . n ie . k ie . r ɨ k
ធនាធិការី	th ea ʔ . n ie . th i ʔ . k aa . r ə j
ធនិកាធិបតេយ្យ	th ea ʔ . n i ʔ . k aa . th ɨ p . p a ʔ . t a j
ធនិត	th ea ʔ . n ɨ t
ធនិតអឃោសៈ	th ea ʔ . n ɨ t . ʔ a ʔ . kh oo . s a ʔ
ធនិន	th ea ʔ . n ɨ n
ធនុ	th ea ʔ . n u ʔ
ធន់	th u n
ធន់មន់	th u n . m u n
ធន់មោង	th u n . m oo ŋ
ធន្នី	th u n . n ii
ធមនី	th ea ʔ . m ea ʔ . n ii
ធម៌	th oa
ធម៌ជ័យ	th oa . c e j
ធម៌ទេសនា	th oa . t ee h . s n aa
ធម៌អាថ៌	th oa . ʔ aa
ធម៌អារ្យ	th oa . ʔ aa
ធម្ម	th oa m . m ea ʔ
ធម្មកឋិក	th oa m . m ea ʔ . k a ʔ . th ə k
ធម្មកថា	th oa m . m ea ʔ . k a ʔ . th aa
ធម្មការ	th oa m . m ea ʔ . k aa
ធម្មកេរ្តិ៍	th oa m . m ea ʔ . k ee
ធម្មក្ខន្ធ	th oa m . m ea ʔ . kh a n
ធម្មចក្រ	th oa m . m ea ʔ . c a k
ធម្មចេតិយ	th oa m . m ea ʔ . c ee t . ɗ ə j
ធម្មជាតិ	th oa m . m ea ʔ . c ie
ធម្មញ្ញុតា	th oa m . m a ɲ . ɲ u ʔ . t aa
ធម្មតា	th oa m . m ea ʔ . ɗ aa
ធម្មត្ថេរ	th oa m . m a t . th ee
ធម្មត្រ័យ	th oa m . m ea ʔ . t r a j
ធម្មទាន	th oa m . m ea ʔ . t ie n
ធម្មទានំ	th oa m . m ea ʔ . t ie n . n a ŋ
ធម្មទីបោ	th oa m . m ea ʔ . t ii . ɓ ao
ធម្មទូត	th oa m . m ea ʔ . t uu t
ធម្មទេសនា	th oa m . m ea ʔ . t ee h . s n aa
ធម្មទ័យ	th oa m . m ea ʔ . t e j
ធម្មធរ	th oa m . m ea ʔ . th ɔɔ
ធម្មនន្ត	th oa m . m ea ʔ . n u n
ធម្មនាថ	th oa m . m ea ʔ . n ie t
ធម្មនិយាម	th oa m . m ea ʔ . n i ʔ . j ie m
ធម្មនុញ្ញ	th oa m . m ea ʔ . n u ɲ
ធម្មនុញ្ញភាព	th oa m . m ea ʔ . n u ɲ . ɲ ea ʔ . ph ie p
ធម្មន័យ	th oa m . m ea ʔ . n e j
ធម្មបថ	th oa m . m ea ʔ . ɓ ɑ t
ធម្មបទ	th oa m . m ea ʔ . ɓ ɑ t
ធម្មបាល	th oa m . m ea ʔ . ɓ aa l
ធម្មប្បដិរូប	th oa m . m a p . p a ʔ . ɗ e ʔ . r uu p
ធម្មប្បាមោជ្ជ	th oa m . m ea ʔ . p aa . m ao c
ធម្មពោធិសាល	th oa m . m ea ʔ . p oo . th i ʔ . s aa l
ធម្មមន្ទីរ	th oa m . m ea ʔ . m u n . t ii
ធម្មយាត្រា	th oa m . m ea ʔ . j ie . t r aa
ធម្មយុត្តិ	th oa m . m ea ʔ . j u t
ធម្មយុត្តិក	th oa m . m ea ʔ . j u t . t e ʔ . k a ʔ
ធម្មយុត្តិកនិកាយ	th oa m . m ea ʔ . j u t . t e ʔ . k a ʔ . n i ʔ . k aa j
ធម្មរក្ខិត	th oa m . m ea ʔ . r ea k . kh ə t
ធម្មរតិ	th oa m . m ea ʔ . r ea ʔ ʔ . t e ʔ
ធម្មរាជា	th oa m . m ea ʔ . r ie . c ie
ធម្មលង្ការ	th oa m . m ea ʔ . l a ŋ . k aa
ធម្មលដ្ឋិកា	th oa m . m ea ʔ . l a t . th e ʔ . k aa
ធម្មលដ្ឋិការ	th oa m . m ea ʔ . l a t . th e ʔ . k aa
ធម្មលិខិត	th oa m . m ea ʔ . l i ʔ . kh ə t
ធម្មវិន័យ	th oa m . m ea ʔ . w i ʔ . n e j
ធម្មសង្គាហកត្ថេរ	th oa m . m ea ʔ . s ɑ ŋ . k ie . h a ʔ . k a t . th ee . r a ʔ
ធម្មសាកច្ឆា	th oa m . m ea ʔ . s aa . k a c . ch aa
ធម្មសំវេគ	th oa m . s a ŋ . w ee k
ធម្មស្រះ	th oa m . m ea ʔ . s r a h
ធម្មា	th oa m . m ie
ធម្មាចារ្យ	th oa m . m ie . c aa
ធម្មាធិបតេយ្យ	th oa m . m ie . th ɨ p . p a ʔ . t e j
ធម្មាធិរាជ	th oa m . m ie . th i ʔ . r ie c
ធម្មានន្ទ	th oa m . m ie . n u n
ធម្មានរូប	th oa m . m ie . n ea ʔ . r uu p
ធម្មានុរូប	th oa m . m ie . n u ʔ . r uu p
ធម្មានុរូបកម្ម	th oa m . m ie . n u ʔ . r uu . p a ʔ . k a m
ធម្មានុរូបភាព	th oa m . m ie . n u ʔ . r uu p . ph ie p
ធម្មាយតនៈ	th oa m . m ie . j ea ʔ . t a ʔ . n a ʔ
ធម្មាស	th oa m . m ie h
ធម្មាសោក	th oa m . m ie . s ao k
ធម្មាសោករាជា	th oa m . m ie . s ao k . r ie c . c ie
ធម្មាអនុរថ	th oa m . m ie . ʔ a ʔ . n u ʔ . r ə t
ធម្មិក	th oa m . m ɨ k
ធម្មិកា	th oa m . m i ʔ . k aa
ធម្មិកោ	th oa m . m i ʔ . k ao
ធម្មិកោដ្ឋ	th oa m . m i ʔ . k ao t
ធម្មឹក	th oa m . m ɨ k
ធម្មុទ្ទេស	th oa m . m u t . t ee h
ធម្មោ	th oa m . m oo
ធម្មោរាជា	th oa m . m oo . r ie c . c ie
ធរណិន្ទ	th ea ʔ . r ea ʔ . n ɨ n
ធរណិន្ទ្រវរ្ម័ន	th ea ʔ . r ea ʔ . n ə n . t r ea ʔ . w ea ʔ . r m a n
ធរណី	th ɔɔ . r ea ʔ . n ii
ធរណីទ្វារ	th ɔ . r ea ʔ . n ii . t w ie
ធរណីន្ទ្រវរ្ម័ន	th ɔɔ . r ea ʔ . n ɨ n . t r ea ʔ . w ea ʔ . r m a n
ធរណីមាត្រ	th ɔ . r ea ʔ . n ii . m ie t
ធរណេន្ទ្រ	th ea ʔ . r ea ʔ . n ee n
ធរមាន	th ɔ . r ea ʔ . m ie n
ធរមានប្បញ្ញត្តិ	th ɔɔ . r ea ʔ . m ie n . p a ɲ . ɲ a t
ធរី	th ea ʔ . r ii
ធរ្មិក	th ea ʔ . r ea ʔ . m ɨ k
ធា	th ie
ធាក់	th ea k
ធាង	th ie ŋ
ធាងដូង	th ie ŋ . ɗ oo ŋ
ធាងសេង	th ie ŋ . s ee ŋ
ធាតុ	th ie t
ធាតុថ្មដា	th ie t . t m ɑɑ . ɗ aa
ធាតុពិត	th ie t . p ɨ t
ធាតុអាកាស	th ie t . ʔ aa . k aa h
ធាត់	th oa t
ធាន	th ie n
ធានទឺ	th ie n . t ɨɨ
ធានធាន	th ie n . th ie n
ធានប៉ោ	th ie n . p ao
ធានវុទ្ធី	th ie n . w u t . th ii
ធានា	th ie . n ie
ធានារ៉ាប់រង	th ie . n ie . r a p . r ɔɔ ŋ
ធានិត	th ie . n ɨ t
ធានី	th ie . n ii
ធានុរាជ	th ie . n u ʔ . r ie c
ធាប	th ie p
ធាម	th ie m
ធាមតេង	th ie m . t ee ŋ
ធាមហួត	th ie m . h uə t
ធាយ	th ie j
ធារ	th ie
ធារស់	th ie . r uə h
ធារា	th ie . r ie
ធារាវត្តី	th ie . r ie . w oa t . t ə j
ធារាសាស្ត្រ	th ie . r ie . s aa h
ធារិត	th ie . r ɨ t
ធារិទ្ធ	th ie . r ɨ t
ធារិទ្ធិ	th ie . r ɨ t
ធារី	th ie . r ii
ធារុណ	th ie . r u n
ធារ៉ា	th ie . r aa
ធារ៉ាត់	th ie . r a t
ធារ៉ូន្នី	th ie . r oo n . n ii
ធាវី	th ie . w ii
ធាស្នា	th ie . s n aa
ធាហេង	th ie . h ee ŋ
ធាឡិន	th ie . l ə n
ធាឡេមែន	th ie . l ee . m ɛɛ n
ធាំង	th ea ŋ
ធិកតូនិក	th i k . t oo . n i k
ធិកនិក	th i k . n i k
ធិច	th ɨ c
ធិចថាយ	th ɨ c . th aa j
ធិចថាយល៍	th ɨ c . th aa j
ធិចថាយ៍	th ɨ c . th aa j
ធិចនីខល	th ɨ c . n ii . kh ɑɑ l
ធិចនីសៀន	th ɨ c . n ii . s iə n
ធិញ	th ɨ ɲ
ធិន	th ɨ n
ធិនវង្ស	th ɨ n . n ea ʔ . w u ŋ
ធិនសុវណ្ណ	th ɨ n . s o ʔ . w a n
ធិនសេ	th ɨ n . s ee
ធិនឡាំ	th ɨ n . l a m
